Number,Title,Latitude,Longitude,Section,Description,Lot,Photo
1,HAT_MES_0001,37.9752143,23.72701849,"North Boundary; Greek Section, Agora Excavations",Hadrian's Library,,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41954:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
2,HAT_MES_0002,37.97526953,23.72692523,"Greek Section, Agora Excavations",Hadrian's Library,661a/8,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41955:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
3,HAT_MES_0003,37.9750697,23.72682024,"North Boundary; Greek Section, Agora Excavations",Hadrian's Library,,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41956:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
4,HAT_MES_0004,37.97441395,23.72728838,"Agora Excavations, Northeast Boundary","Medresses, Tower of the Winds",,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41957:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
5,HAT_MES_0005,37.97429569,23.72711316,"Greek Section, Agora Excavations",Roman Agora,645/4,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41958:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
6,HAT_MES_0006,37.97428547,23.72657979,"Greek Section, Agora Excavations",Tower of the Winds,645/4,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41959:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
7,HAT_MES_0007,37.9740897,23.72647671,"Greek Section, Agora Excavations",Tower of the Winds,665/4,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41960:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
8,HAT_MES_0008,37.97426961,23.7262915,"Greek Section, Agora Excavations",Roman Agora,666/5,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41961:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
9,HAT_MES_0009,37.97444739,23.7262461,"Greek Section, Agora Excavations",,664/1,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41962:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
10,HAT_MES_0010,37.97476363,23.72590765,"Greek Section, Agora Excavations",,662/8,"<img src=""https://collections.visualresources.princeton.edu/service.php/IIIF/representation:41963:1/full/max/0/default.jpg"" height=""150px"" width=""150px""/>"
